"dname","attrib","img","behavior","target_team","manacost","description","cooldown","dmg_type","target_type","dispellable","bkbpierce","lore","damage"
"Charge of Darkness","[{'key': 'movement_speed', 'header': 'CHARGE BONUS SPEED:', 'value': ['275', '325', '375', '425']}, {'key': 'stun_duration', 'header': 'STUN DURATION:', 'value': ['1.2', '1.5', '1.8', '2.1']}, {'key': 'bash_radius', 'header': 'BASH RADIUS:', 'value': '300', 'generated': True}, {'key': 'vision_radius', 'header': 'VISION RADIUS:', 'value': '400', 'generated': True}, {'key': 'vision_duration', 'header': 'VISION DURATION:', 'value': '0.94', 'generated': True}, {'key': 'scepter_cooldown', 'header': 'COOLDOWN:', 'value': '9'}, {'key': 'scepter_speed', 'header': 'SCEPTER SPEED:', 'value': '175', 'generated': True}, {'key': 'scepter_cast_point', 'header': 'SCEPTER CAST POINT:', 'value': '0.1', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '0', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.1', 'generated': True}]","/apps/dota2/images/dota_react/abilities/spirit_breaker_charge_of_darkness.png","Unit Target","Enemy","100","Spirit Breaker fixes his sight on an enemy unit and starts charging through all objects. All enemy units passed through and the targeted unit will be hit by a Greater Bash.  If the targeted unit dies, Spirit Breaker will change his target to the nearest enemy unit to that location.","['22', '19', '16', '13']","","['Hero', 'Basic']","No","No","Barathrum erupts from the darkness with unwieldy force.",""
"Chemical Rage","[{'key': 'duration', 'header': 'DURATION:', 'value': '30'}, {'key': 'transformation_time', 'header': 'TRANSFORMATION TIME:', 'value': '0.35', 'generated': True}, {'key': 'base_attack_time', 'header': 'BASE ATTACK TIME:', 'value': ['1.2', '1.1', '1']}, {'key': 'bonus_health', 'header': 'BONUS HEALTH:', 'value': '0', 'generated': True}, {'key': 'bonus_health_regen', 'header': 'BONUS HEALTH REGEN:', 'value': ['50', '80', '110']}, {'key': 'bonus_mana_regen', 'header': 'BONUS MANA REGEN:', 'value': '0', 'generated': True}, {'key': 'bonus_movespeed', 'header': 'BONUS MOVE SPEED:', 'value': ['30', '45', '60']}, {'key': 'scepter_gold_damage', 'header': 'SCEPTER GOLD DAMAGE:', 'value': '2', 'generated': True}, {'key': 'scepter_bonus_damage', 'header': 'BONUS DAMAGE PER SCEPTER:', 'value': '25'}, {'key': 'scepter_spell_amp', 'header': 'SPELL AMP PER SCEPTER:', 'value': '5%'}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0', 'generated': True}]","/apps/dota2/images/dota_react/abilities/alchemist_chemical_rage.png","No Target","","['50', '75', '100']","Alchemist causes his Ogre to enter a chemically induced rage, reducing base attack cooldown and increasing movement speed and health regeneration.

DISPEL TYPE: Basic Dispel","60","","","No","","The brew Razzil gave to the Ogre during their prison bust has become a useful potion in the midst of combat.",""
"Chilling Touch","[{'key': 'damage', 'header': 'DAMAGE:', 'value': ['40', '80', '120', '160']}, {'key': 'slow', 'header': 'MOVEMENT SLOW:', 'value': '100%'}, {'key': 'duration', 'header': 'SLOW DURATION:', 'value': ['0.7', '0.8', '0.9', '1']}, {'key': 'attack_range_bonus', 'header': 'ATTACK RANGE BONUS:', 'value': ['60', '120', '180', '240']}]","/apps/dota2/images/dota_react/abilities/ancient_apparition_chilling_touch.png","['Unit Target', 'Autocast', 'Attack Modifier']","Enemy","['30', '40', '50', '60']","Enhances Ancient Apparition's attack with increased range, heavy magic damage, and movement slow.","['12', '9', '6', '3']","Magical","['Hero', 'Basic']","Yes","No","The Ancient Apparition's eternal knowledge brings a frigid enchantment to his attacks.",""
"Chronosphere","[{'key': 'radius', 'header': 'RADIUS:', 'value': '500'}, {'key': 'duration', 'header': 'DURATION:', 'value': ['3.75', '4.25', '4.75']}, {'key': 'vision_radius', 'header': 'VISION RADIUS:', 'value': '475', 'generated': True}, {'key': 'bonus_attack_speed', 'header': 'BONUS ATTACK SPEED:', 'value': '0', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '500', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.35', 'generated': True}]","/apps/dota2/images/dota_react/abilities/faceless_void_chronosphere.png","['AOE', 'Point Target']","","['150', '225', '300']","Creates a blister in spacetime, trapping all units caught in its sphere of influence and causes you to move very quickly inside it. All ability and item cooldowns are frozen. Only Faceless Void and any units he controls are unaffected.  Invisible enemies in the sphere will be revealed.","['160', '150', '140']","","","No","Yes","When a rift opens to Claszureme, all poor souls caught within will likely never return.",""
"Chronosphere","[{'key': 'radius', 'header': 'RADIUS:', 'value': ['425', '450', '475', '500', '525', '550', '575', '600', '625', '650', '675'], 'generated': True}, {'key': 'duration', 'header': 'DURATION:', 'value': ['4', '4.5', '5'], 'generated': True}, {'key': 'vision_radius', 'header': 'VISION RADIUS:', 'value': '475', 'generated': True}]","/apps/dota2/images/dota_react/abilities/cny2015_chronosphere.png","['AOE', 'Point Target']","","150","","130","","","","Yes","",""
"Cinder Brew","[{'key': 'duration', 'header': 'DURATION:', 'value': '5'}, {'key': 'total_damage', 'header': 'IGNITE TOTAL DAMAGE:', 'value': ['80', '160', '240', '320']}, {'key': 'movement_slow', 'header': 'MOVEMENT SLOW:', 'value': ['24%', '28%', '32%', '36%']}, {'key': 'extra_duration', 'header': 'EXTRA DURATION:', 'value': '3', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '850', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.2', 'generated': True}]","/apps/dota2/images/dota_react/abilities/brewmaster_cinder_brew.png","['Point Target', 'AOE']","","['50', '60', '70', '80']","Drenches himself and an area in alcohol, causing enemy units to move slower and ignite once they take any spell damage. Duration is increased by 3 seconds when enemies are ignited. While Brewmaster is Brewed Up, His Drunken Brawler Stances are stronger. Dealing or receiving magic damage extends Brewmaster's Brewed Up duration.","['22', '19', '16', '13']","Magical","","Yes","No","The Order of the Oyo's solution to all problems - another round!",""
"Cinder Brew applies Fear when ignited","","","","","","","","","","","","",""
"Cloak Aura","[{'key': 'bonus_magical_armor', 'header': 'MAGIC RESISTANCE HEROES:', 'value': ['10%', '12%', '14%', '16%']}, {'key': 'bonus_magical_armor_creeps', 'header': 'MAGIC RESISTANCE CREEPS:', 'value': ['20%', '24%', '28%', '32%']}, {'key': 'radius', 'header': 'AURA RADIUS:', 'value': '1200'}]","/apps/dota2/images/dota_react/abilities/mudgolem_cloak_aura.png","Passive","","","This creature protects its allies with a Magic resistance aura. Creeps are better protected.","","","","","","",""
"Cloak and Dagger","[{'key': 'damage_multiplier', 'header': 'AGI DAMAGE MULT:', 'value': ['0.8', '1.2', '1.6']}, {'key': 'backstab_angle', 'header': 'BACKSTAB ANGLE:', 'value': '105', 'generated': True}, {'key': 'fade_delay', 'header': 'FADE DELAY:', 'value': ['4', '3', '2']}, {'key': 'bonus_xp_kill', 'header': 'BONUS XP KILL:', 'value': ['150', '250', '350']}, {'key': 'bonus_xp_assist', 'header': 'BONUS XP ASSIST:', 'value': '100'}]","/apps/dota2/images/dota_react/abilities/riki_backstab.png","Passive","","","Riki fades into the shadows, becoming invisible. Every time Riki strikes his enemy from behind, he deals bonus damage based on his Agility. Bonus damage is doubled against non-hero units. When Riki attacks, he becomes visible. Grants bonus experience for hero kills and assists.","","Physical","","No","Yes","Riki comes for you.",""
"Cold Blooded","[{'key': 'damage', 'header': 'DAMAGE:', 'value': '0', 'generated': True}]","/apps/dota2/images/dota_react/abilities/medusa_cold_blooded.png","['Passive', 'Hidden']","Enemy","","When Medusa is targeted with a spell, a single-target Mystic Snake is sent back towards the enemy.","12","Magical","['Hero', 'Basic']","","No","",""
"Cold Embrace","[{'key': 'duration', 'header': 'DURATION:', 'value': '4'}, {'key': 'heal_additive', 'header': 'BASE HEAL PER SECOND:', 'value': ['40', '45', '50', '55']}, {'key': 'heal_percentage', 'header': 'MAX HP HEAL PER SECOND:', 'value': ['2.25%', '3%', '3.75%', '4.5%']}, {'key': 'shard_cooldown_reduction', 'header': 'SHARD COOLDOWN REDUCTION:', 'value': '4', 'generated': True}, {'key': 'shard_splinter_range', 'header': 'SHARD SPLINTER RANGE:', 'value': '1200', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': ['850', '900', '950', '1000'], 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.3', 'generated': True}]","/apps/dota2/images/dota_react/abilities/winter_wyvern_cold_embrace.png","Unit Target","Friendly","['50', '60', '70', '80']","Encases an ally in an icy cocoon, freezing them solid while healing a base amount as well as a percentage of their maximum health each second. The cocoon blocks all physical damage.","['24', '21', '18', '15']","","Hero","No","Yes","From winter's heart comes a cold, healing embrace. The ice slows the blood and allows the spell to better work its curative magic.",""
"Cold Feet","[{'key': 'damage', 'header': 'DAMAGE PER SECOND:', 'value': ['30', '50', '70', '90']}, {'key': 'break_distance', 'header': 'BREAK DISTANCE:', 'value': '715'}, {'key': 'stun_duration', 'header': 'STUN DURATION:', 'value': ['1.6', '2', '2.4', '2.8']}, {'key': 'area_of_effect', 'header': 'AREA OF EFFECT:', 'value': '0', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': ['700', '800', '900', '1000']}, {'key': 'abilityduration', 'header': 'DURATION:', 'value': '4', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.01', 'generated': True}]","/apps/dota2/images/dota_react/abilities/ancient_apparition_cold_feet.png","Unit Target","Enemy","125","Places a frozen hex on an enemy unit that deals damage over time, but can be dispelled by moving away from the initial cast point. If the enemy unit doesn't move outside of the given range, it will be stunned and frozen in place after 4 seconds.","['15', '13', '11', '9']","Magical","['Hero', 'Basic']","Yes","No","Kaldr's presence draws those around him into a frozen void, threatening to lock them in an icy prison for eternity.",""
"Cold Greevil Feet","[{'key': 'damage', 'header': 'DAMAGE:', 'value': '75', 'generated': True}, {'key': 'break_distance', 'header': 'BREAK DISTANCE:', 'value': '740', 'generated': True}, {'key': 'stun_duration', 'header': 'STUN DURATION:', 'value': '3.5', 'generated': True}, {'key': 'cast_animation', 'header': 'CAST ANIMATION:', 'value': '2', 'generated': True}]","/apps/dota2/images/dota_react/abilities/greevil_miniboss_blue_cold_feet.png","Unit Target","Enemy","50","","9","Magical","['Hero', 'Basic']","","","",""
"Cold Snap","[{'key': 'duration', 'header': 'COLD SNAP DURATION (QUAS):\\n', 'value': ['3', '3.4', '3.8', '4.2', '4.6', '5', '5.4', '5.8']}, {'key': 'freeze_duration', 'header': 'FREEZE DURATION:', 'value': '0.4'}, {'key': 'freeze_cooldown', 'header': 'FREEZE COOLDOWN (QUAS):', 'value': ['0.80', '0.77', '0.74', '0.71', '0.68', '0.65', '0.62', '0.59']}, {'key': 'freeze_damage', 'header': 'FREEZE DAMAGE (QUAS):', 'value': ['8', '16', '24', '32', '40', '48', '56', '64']}, {'key': 'freeze_heal', 'header': 'FREEZE HEAL (QUAS):', 'value': ['13', '26', '39', '52', '65', '78', '91', '104']}, {'key': 'damage_trigger', 'header': 'DAMAGE TRIGGER:', 'value': '10', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '1000', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.05', 'generated': True}]","/apps/dota2/images/dota_react/abilities/invoker_cold_snap.png","['Unit Target', 'Hidden']","Enemy","90","Invoker draws the heat from an enemy, chilling them to their very core for a duration based on the level of Quas . The enemy will take damage and be briefly frozen. Further damage taken in this state will freeze the enemy again, dealing bonus damage and healing invoker. The enemy can only be frozen so often, but the freeze cooldown decreases based on the level of Quas .","20","Magical","['Hero', 'Basic']","Yes","No","Sadron's Protracted Frisson.",""
"Cold Snap (AD)","[{'key': 'duration', 'header': 'COLD SNAP DURATION:\\n', 'value': ['3.5', '4.3', '5.1', '6']}, {'key': 'freeze_duration', 'header': 'FREEZE DURATION:', 'value': '0.4'}, {'key': 'freeze_cooldown', 'header': 'FREEZE COOLDOWN:', 'value': ['0.8', '0.75', '0.70', '0.65']}, {'key': 'freeze_damage', 'header': 'FREEZE DAMAGE:', 'value': ['16', '30', '43', '56']}, {'key': 'damage_trigger', 'header': 'DAMAGE TRIGGER:', 'value': '10', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '1000', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.05', 'generated': True}]","/apps/dota2/images/dota_react/abilities/invoker_cold_snap_ad.png","Unit Target","Enemy","90","Invoker draws the heat from an enemy, chilling them to their very core for a duration. The enemy will take damage and be briefly frozen. Further damage taken in this state will freeze the enemy again, dealing bonus damage. The enemy can only be frozen so often, but the freeze cooldown decreases as the level goes up.","20","Magical","['Hero', 'Basic']","Yes","No","Sadron's Protracted Frisson.",""
"Concussive Grenade","[{'key': 'damage', 'header': 'DAMAGE:', 'value': '200'}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '600', 'generated': True}, {'key': 'radius', 'header': 'RADIUS:', 'value': '375'}, {'key': 'slow', 'header': 'MOVE SLOW:', 'value': '50%'}, {'key': 'debuff_duration', 'header': 'SLOW DURATION:', 'value': '3'}, {'key': 'knockback_height', 'header': 'KNOCKBACK HEIGHT:', 'value': '100', 'generated': True}, {'key': 'knockback_distance', 'header': 'KNOCKBACK DISTANCE:', 'value': '475'}, {'key': 'knockback_duration', 'header': 'KNOCKBACK DURATION:', 'value': '0.4', 'generated': True}, {'key': 'self_push', 'header': 'SELF PUSH:', 'value': '1', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.1', 'generated': True}]","/apps/dota2/images/dota_react/abilities/sniper_concussive_grenade.png","['Point Target', 'AOE']","Enemy","50","Launches a grenade at the target area, dealing damage to enemies and knocking them and Sniper himself back. Enemies affected are disarmed and have their movement slowed after the knockback.","10","Magical","['Hero', 'Basic']","Yes","No","",""
"Concussive Grenade Pushes Sniper back","","","","","","","","","","","","",""
"Concussive Shot","[{'key': 'launch_radius', 'header': 'SHOT RANGE:', 'value': '1600'}, {'key': 'slow_radius', 'header': 'DAMAGE RADIUS:', 'value': '250'}, {'key': 'speed', 'header': 'SPEED:', 'value': '800', 'generated': True}, {'key': 'damage', 'header': 'DAMAGE:', 'value': ['120', '180', '240', '300']}, {'key': 'slow_duration', 'header': 'SLOW DURATION:', 'value': '4'}, {'key': 'movement_speed_pct', 'header': 'SLOW:', 'value': '40%'}, {'key': 'shot_vision', 'header': 'SHOT VISION:', 'value': '300', 'generated': True}, {'key': 'vision_duration', 'header': 'VISION DURATION:', 'value': '3.34', 'generated': True}, {'key': 'scepter_radius', 'header': 'SCEPTER RADIUS:', 'value': '700', 'generated': True}, {'key': 'creep_damage_pct', 'header': 'CREEP DAMAGE PCT:', 'value': '75', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '1600', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0', 'generated': True}]","/apps/dota2/images/dota_react/abilities/skywrath_mage_concussive_shot.png","No Target","","['80', '85', '90', '95']","Skywrath Mage sets off a long range shot that hits the closest hero within a long range. Upon impact, it deals damage and slows in an area of effect. Deals 75% damage to creeps.","['15', '14', '13', '12']","Magical","","Yes","No","Those who serve the court of the Ghastly Eyrie are ever locked in covert war. One must always know where danger lurks nearest.",""
"Conjure Image","[{'key': 'illusion_duration', 'header': 'ILLUSION DURATION:', 'value': '34'}, {'key': 'illusion_outgoing_damage', 'header': 'ILLUSION OUTGOING DAMAGE:', 'value': ['-70', '-60', '-50', '-40'], 'generated': True}, {'key': 'illusion_outgoing_tooltip', 'header': 'ILLUSION DAMAGE:', 'value': ['30%', '40%', '50%', '60%']}, {'key': 'illusion_incoming_damage', 'header': 'ILLUSION INCOMING DAMAGE:', 'value': '175', 'generated': True}, {'key': 'illusion_incoming_damage_total_tooltip', 'header': 'ILLUSION DAMAGE TAKEN:', 'value': '275%'}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.15', 'generated': True}]","/apps/dota2/images/dota_react/abilities/terrorblade_conjure_image.png","No Target","","['55', '65', '75', '85']","Creates an illusion of Terrorblade that deals damage.","16","","","","","There's only one thing more dangerous than facing Terrorblade.  Facing MORE Terrorblades!",""
"Consume","[]","/apps/dota2/images/dota_react/abilities/life_stealer_consume.png","['Hidden', 'No Target', 'Instant Cast']","","","Lifestealer eats the host body from the inside out, exploding from within.","","","","","","",""
"Control","[]","/apps/dota2/images/dota_react/abilities/life_stealer_control.png","['Hidden', 'No Target', 'Instant Cast']","","","Lifestealer seizes control of the host body's nervous system, allowing him to issue movement and attack orders from within. Controlled units share Lifestealer's movement speed.  Cannot be used on heroes.","","","","No","","",""
